n,seed,model,arm,test_mae,n_params,secs
25,0,alignn,structure,2.130995512008667,4040705,239.21668100357056
25,1,alignn,structure,2.13916540145874,4040705,149.9810869693756
25,2,alignn,structure,2.1155238151550293,4040705,175.79319500923157
50,0,alignn,structure,2.020272970199585,4040705,3209.5293548107147
50,1,alignn,structure,2.090458393096924,4040705,806.0829088687897
50,2,alignn,structure,1.566740870475769,4040705,2005.6423428058624
100,0,alignn,structure,2.1110265254974365,4040705,1832.7759811878204
100,1,alignn,structure,2.0964181423187256,4040705,1471.9136848449707
100,2,alignn,structure,1.722476840019226,4040705,3621.8145191669464
150,0,alignn,structure,1.6605451107025146,4040705,3178.425329208374
150,1,alignn,structure,1.7228602170944214,4040705,3361.7954092025757
150,2,alignn,structure,1.8110593557357788,4040705,1980.3375599384308
200,0,alignn,structure,1.5285497903823853,4040705,4387.4127740859985
200,1,alignn,structure,2.037383794784546,4040705,1933.5819079875944
200,2,alignn,structure,1.4805625677108765,4040705,3228.1736137866974
