arm,model,n,mean,std,count
composition,mean_baseline,25,2.1094766857206753,0.008753932075240473,5
composition,mean_baseline,50,2.1113709360924835,0.02905306570997392,5
composition,mean_baseline,100,2.105293239120313,0.005887090137829672,5
composition,mean_baseline,150,2.0999821435100534,0.004628106704708947,5
composition,mean_baseline,200,2.097203991547054,0.0014744244702011482,5
composition,random_forest,25,1.8083856599858215,0.1075011651913807,5
composition,random_forest,50,1.64025125435005,0.09932585714507312,5
composition,random_forest,100,1.387829278479074,0.03904818345495987,5
composition,random_forest,150,1.2413773432526658,0.09320651995112698,5
composition,random_forest,200,1.1107374555381988,0.03264955676956304,5
composition,xgboost,25,1.7263888737098636,0.13315926729468644,5
composition,xgboost,50,1.5924194557759281,0.163232996911649,5
composition,xgboost,100,1.3078912834293448,0.13676125052091498,5
composition,xgboost,150,1.078762360893495,0.11699567896594877,5
composition,xgboost,200,0.9953614110186828,0.049821873710179716,5
structure,alignn_small,25,2.0386384248733522,0.09031382024873946,5
structure,alignn_small,50,1.9550703287124633,0.21781241718030903,5
structure,alignn_small,100,1.884551191329956,0.32285234403418217,5
structure,alignn_small,150,1.6841742753982545,0.13003851196018734,5
structure,alignn_small,200,1.523566770553589,0.16746914918860537,5
structure,cgcnn,25,2.206665539741516,0.2664835654041247,5
structure,cgcnn,50,1.970073127746582,0.20887313170618282,5
structure,cgcnn,100,1.8109695672988892,0.24665212103445672,5
structure,cgcnn,150,1.676614475250244,0.18987489105693478,5
structure,cgcnn,200,1.6368002891540527,0.17775673741176984,5
